team_id,code,hex_bg,hex_text,hex_ol,team_name,status,league,division,w,l,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,x,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12p,13p,14p,15p,16p,17p,18p,19p,20p,21p,22p,23p,24p,25p,26p,27p,28p,29p,30p,31p,32p,33p,xp,1avg,2avg,3avg,4avg,5avg,6avg,7avg,8avg,9avg,10avg,11avg,12avg,13avg,14avg,15avg,16avg,17avg,18avg,19avg,20avg,21avg,22avg,23avg,24avg,25avg,26avg,27avg,28avg,29avg,30avg,31avg,32avg,33avg,xavg,runs,runs_adj,center_of_gravity
108,laa,BC032B,FCFEFC,092341,Los Angeles Angels,Home,American,West,8,10,12.0,10.0,4.0,13.0,10.0,0.0,5.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,12.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,0.6666666666666666,0.5555555555555556,0.2222222222222222,0.7222222222222222,0.5555555555555556,0.0,0.2777777777777778,0.1111111111111111,0.08333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,61.0,247.0,4.049180327868853
108,laa,BC032B,FCFEFC,092341,Los Angeles Angels,Away,American,West,8,15,12.0,12.0,8.0,19.0,11.0,15.0,12.0,16.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5217391304347826,0.5217391304347826,0.34782608695652173,0.8260869565217391,0.4782608695652174,0.6521739130434783,0.5217391304347826,0.6956521739130435,0.43478260869565216,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,116.0,593.0,5.112068965517241
108,laa,BC032B,FCFEFC,092341,Los Angeles Angels,Total,American,West,16,25,24.0,22.0,12.0,32.0,21.0,15.0,17.0,18.0,11.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,35.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,0.5853658536585366,0.5365853658536586,0.2926829268292683,0.7804878048780488,0.5121951219512195,0.36585365853658536,0.4146341463414634,0.43902439024390244,0.3142857142857143,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,0.8333333333333334,177.0,840.0,4.745762711864407
136,sea,002147,84888B,00665B,Seattle Mariners,Home,American,West,12,11,18.0,7.0,10.0,10.0,16.0,14.0,8.0,7.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.782608695652174,0.30434782608695654,0.43478260869565216,0.43478260869565216,0.6956521739130435,0.6086956521739131,0.34782608695652173,0.30434782608695654,0.42857142857142855,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,98.0,452.0,4.612244897959184
136,sea,002147,84888B,00665B,Seattle Mariners,Away,American,West,7,11,5.0,9.0,5.0,5.0,11.0,5.0,6.0,10.0,9.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,4.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,0.2777777777777778,0.5,0.2777777777777778,0.2777777777777778,0.6111111111111112,0.2777777777777778,0.3333333333333333,0.5555555555555556,0.5,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,69.0,386.0,5.594202898550725
136,sea,002147,84888B,00665B,Seattle Mariners,Total,American,West,19,22,23.0,16.0,15.0,15.0,27.0,19.0,14.0,17.0,15.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,6.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,32.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,0.5609756097560976,0.3902439024390244,0.36585365853658536,0.36585365853658536,0.6585365853658537,0.4634146341463415,0.34146341463414637,0.4146341463414634,0.46875,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,1.2,167.0,838.0,5.017964071856287
140,tex,002C74,FCFEFC,BD042B,Texas Rangers,Home,American,West,9,9,1.0,8.0,4.0,8.0,13.0,5.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05555555555555555,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.7222222222222222,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,243.0,4.86
140,tex,002C74,FCFEFC,BD042B,Texas Rangers,Away,American,West,10,12,13.0,3.0,22.0,8.0,5.0,7.0,11.0,11.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5909090909090909,0.13636363636363635,1.0,0.36363636363636365,0.22727272727272727,0.3181818181818182,0.5,0.5,0.7727272727272727,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,99.0,522.0,5.2727272727272725
140,tex,002C74,FCFEFC,BD042B,Texas Rangers,Total,American,West,19,21,14.0,11.0,26.0,16.0,18.0,12.0,15.0,15.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.35,0.275,0.65,0.4,0.45,0.3,0.375,0.375,0.6451612903225806,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,149.0,765.0,5.134228187919463
144,atl,0C2340,FFFFFF,BD0E2A,Atlanta Braves,Home,National,East,12,6,10.0,12.0,9.0,12.0,6.0,12.0,8.0,13.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5555555555555556,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.7222222222222222,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,91.0,453.0,4.978021978021978
